yearID	league	teamID	franchID	Rank	G	W	L	name	park	teamNO
1942	NL	BSN	ATL	7	150	59	89	Boston Braves	Braves Field	1058
1942	AL	CHA	CHW	6	148	66	82	Chicago White Sox	Comiskey Park	1059
1942	NL	CHN	CHC	6	155	68	86	Chicago Cubs	Wrigley Field	1060
1942	NL	CIN	CIN	4	154	76	76	Cincinnati Reds	Crosley Field	1061
1942	AL	CLE	CLE	4	156	75	79	Cleveland Indians	League Park II/Cleveland Stadium	1062
1942	AL	DET	DET	5	156	73	81	Detroit Tigers	Briggs Stadium	1063
1942	NL	NY1	SFG	3	154	85	67	New York Giants	Polo Grounds IV	1064
1942	AL	NYA	NYY	1	154	103	51	New York Yankees	Yankee Stadium I	1065
1942	AL	PHA	OAK	8	154	55	99	Philadelphia Athletics	Shibe Park	1066
1942	NL	PHI	PHI	8	151	42	109	Philadelphia Phillies	Shibe Park	1067
1942	NL	PIT	PIT	5	151	66	81	Pittsburgh Pirates	Forbes Field	1068
1942	AL	SLA	BAL	3	151	82	69	St. Louis Browns	Sportsman's Park IV	1069
1942	NL	SLN	STL	1	156	106	48	St. Louis Cardinals	Sportsman's Park IV	1070
1942	AL	WS1	MIN	7	151	62	89	Washington Senators	Griffith Stadium I	1071
1943	AL	BOS	BOS	7	155	68	84	Boston Red Sox	Fenway Park II	1072
1943	NL	BRO	LAD	3	153	81	72	Brooklyn Dodgers	Ebbets Field	1073
1943	NL	BSN	ATL	6	153	68	85	Boston Braves	Braves Field	1074
1943	AL	CHA	CHW	4	155	82	72	Chicago White Sox	Comiskey Park	1075
1943	NL	CHN	CHC	5	154	74	79	Chicago Cubs	Wrigley Field	1076
1943	NL	CIN	CIN	2	155	87	67	Cincinnati Reds	Crosley Field	1077
1943	AL	CLE	CLE	3	153	82	71	Cleveland Indians	League Park II/Cleveland Stadium	1078
1943	AL	DET	DET	5	155	78	76	Detroit Tigers	Briggs Stadium	1079
1943	NL	NY1	SFG	8	156	55	98	New York Giants	Polo Grounds IV	1080
1943	AL	NYA	NYY	1	155	98	56	New York Yankees	Yankee Stadium I	1081
1943	AL	PHA	OAK	8	155	49	105	Philadelphia Athletics	Shibe Park	1082
1943	NL	PHI	PHI	7	157	64	90	Philadelphia Blue Jays	Shibe Park	1083
1943	NL	PIT	PIT	4	157	80	74	Pittsburgh Pirates	Forbes Field	1084
1943	AL	SLA	BAL	6	153	72	80	St. Louis Browns	Sportsman's Park IV	1085
1943	NL	SLN	STL	1	157	105	49	St. Louis Cardinals	Sportsman's Park IV	1086
1943	AL	WS1	MIN	2	153	84	69	Washington Senators	Griffith Stadium I	1087
1944	AL	BOS	BOS	4	156	77	77	Boston Red Sox	Fenway Park II	1088
1944	NL	BRO	LAD	7	155	63	91	Brooklyn Dodgers	Ebbets Field	1089
1944	NL	BSN	ATL	6	155	65	89	Boston Braves	Braves Field	1090
1944	AL	CHA	CHW	7	154	71	83	Chicago White Sox	Comiskey Park	1091
1944	NL	CHN	CHC	4	157	75	79	Chicago Cubs	Wrigley Field	1092
1944	NL	CIN	CIN	3	155	89	65	Cincinnati Reds	Crosley Field	1093
1944	AL	CLE	CLE	5	155	72	82	Cleveland Indians	League Park II/Cleveland Stadium	1094
1944	AL	DET	DET	2	156	88	66	Detroit Tigers	Briggs Stadium	1095
1944	NL	NY1	SFG	5	155	67	87	New York Giants	Polo Grounds IV	1096
1944	AL	NYA	NYY	3	154	83	71	New York Yankees	Yankee Stadium I	1097
1944	AL	PHA	OAK	5	155	72	82	Philadelphia Athletics	Shibe Park	1098
1944	NL	PHI	PHI	8	154	61	92	Philadelphia Blue Jays	Shibe Park	1099
1944	NL	PIT	PIT	2	158	90	63	Pittsburgh Pirates	Forbes Field	1100
1944	AL	SLA	BAL	1	154	89	65	St. Louis Browns	Sportsman's Park IV	1101
1944	NL	SLN	STL	1	157	105	49	St. Louis Cardinals	Sportsman's Park IV	1102
1944	AL	WS1	MIN	8	154	64	90	Washington Senators	Griffith Stadium I	1103
1945	AL	BOS	BOS	7	157	71	83	Boston Red Sox	Fenway Park II	1104
1945	NL	BRO	LAD	3	155	87	67	Brooklyn Dodgers	Ebbets Field	1105
1945	NL	BSN	ATL	6	154	67	85	Boston Braves	Braves Field	1106
1945	AL	CHA	CHW	6	150	71	78	Chicago White Sox	Comiskey Park	1107
1945	NL	CHN	CHC	1	155	98	56	Chicago Cubs	Wrigley Field	1108
1945	NL	CIN	CIN	7	154	61	93	Cincinnati Reds	Crosley Field	1109
1945	AL	CLE	CLE	5	147	73	72	Cleveland Indians	League Park II/Cleveland Stadium	1110
1945	AL	DET	DET	1	155	88	65	Detroit Tigers	Briggs Stadium	1111
1945	NL	NY1	SFG	5	154	78	74	New York Giants	Polo Grounds IV	1112
1945	AL	NYA	NYY	4	152	81	71	New York Yankees	Yankee Stadium I	1113
1945	AL	PHA	OAK	8	153	52	98	Philadelphia Athletics	Shibe Park	1114
1945	NL	PHI	PHI	8	154	46	108	Philadelphia Phillies	Shibe Park	1115
1945	NL	PIT	PIT	4	155	82	72	Pittsburgh Pirates	Forbes Field	1116
1945	AL	SLA	BAL	3	154	81	70	St. Louis Browns	Sportsman's Park IV	1117
1945	NL	SLN	STL	2	155	95	59	St. Louis Cardinals	Sportsman's Park IV	1118
1945	AL	WS1	MIN	2	156	87	67	Washington Senators	Griffith Stadium I	1119
1946	AL	BOS	BOS	1	156	104	50	Boston Red Sox	Fenway Park II	1120
1946	NL	BRO	LAD	2	157	96	60	Brooklyn Dodgers	Ebbets Field	1121
1946	NL	BSN	ATL	4	154	81	72	Boston Braves	Braves Field	1122
1946	AL	CHA	CHW	5	155	74	80	Chicago White Sox	Comiskey Park	1123
1946	NL	CHN	CHC	3	155	82	71	Chicago Cubs	Wrigley Field	1124
1946	NL	CIN	CIN	6	156	67	87	Cincinnati Reds	Crosley Field	1125
1946	AL	CLE	CLE	6	156	68	86	Cleveland Indians	League Park II/Cleveland Stadium	1126
1946	AL	DET	DET	2	155	92	62	Detroit Tigers	Briggs Stadium	1127
1946	NL	NY1	SFG	8	154	61	93	New York Giants	Polo Grounds IV	1128
1946	AL	NYA	NYY	3	154	87	67	New York Yankees	Yankee Stadium I	1129
1946	AL	PHA	OAK	8	155	49	105	Philadelphia Athletics	Shibe Park	1130
1946	NL	PHI	PHI	5	155	69	85	Philadelphia Phillies	Shibe Park	1131
1946	NL	PIT	PIT	7	155	63	91	Pittsburgh Pirates	Forbes Field	1132
1946	AL	SLA	BAL	7	156	66	88	St. Louis Browns	Sportsman's Park IV	1133
1946	NL	SLN	STL	1	156	98	58	St. Louis Cardinals	Sportsman's Park IV	1134
1946	AL	WS1	MIN	4	155	76	78	Washington Senators	Griffith Stadium I	1135
1947	AL	BOS	BOS	3	157	83	71	Boston Red Sox	Fenway Park II	1136
1947	NL	BRO	LAD	1	155	94	60	Brooklyn Dodgers	Ebbets Field	1137
1947	NL	BSN	ATL	3	154	86	68	Boston Braves	Braves Field	1138
1947	AL	CHA	CHW	6	155	70	84	Chicago White Sox	Comiskey Park	1139
1947	NL	CHN	CHC	6	155	69	85	Chicago Cubs	Wrigley Field	1140
1947	NL	CIN	CIN	5	154	73	81	Cincinnati Reds	Crosley Field	1141
1947	AL	CLE	CLE	4	157	80	74	Cleveland Indians	Cleveland Stadium	1142
1947	AL	DET	DET	2	158	85	69	Detroit Tigers	Briggs Stadium	1143
1947	NL	NY1	SFG	4	155	81	73	New York Giants	Polo Grounds IV	1144
1947	AL	NYA	NYY	1	155	97	57	New York Yankees	Yankee Stadium I	1145
1947	AL	PHA	OAK	5	156	78	76	Philadelphia Athletics	Shibe Park	1146
1947	NL	PHI	PHI	7	155	62	92	Philadelphia Phillies	Shibe Park	1147
1947	NL	PIT	PIT	7	156	62	92	Pittsburgh Pirates	Forbes Field	1148
1947	AL	SLA	BAL	8	154	59	95	St. Louis Browns	Sportsman's Park IV	1149
1947	NL	SLN	STL	2	156	89	65	St. Louis Cardinals	Sportsman's Park IV	1150
1947	AL	WS1	MIN	7	154	64	90	Washington Senators	Griffith Stadium I	1151
1948	AL	BOS	BOS	2	155	96	59	Boston Red Sox	Fenway Park II	1152
1948	NL	BRO	LAD	3	155	84	70	Brooklyn Dodgers	Ebbets Field	1153
1948	NL	BSN	ATL	1	154	91	62	Boston Braves	Braves Field	1154
1948	AL	CHA	CHW	8	154	51	101	Chicago White Sox	Comiskey Park	1155
1948	NL	CHN	CHC	8	155	64	90	Chicago Cubs	Wrigley Field	1156
1948	NL	CIN	CIN	7	153	64	89	Cincinnati Reds	Crosley Field	1157
1948	AL	CLE	CLE	1	156	97	58	Cleveland Indians	Cleveland Stadium	1158
1948	AL	DET	DET	5	154	78	76	Detroit Tigers	Briggs Stadium	1159
1948	NL	NY1	SFG	5	155	78	76	New York Giants	Polo Grounds IV	1160
1948	AL	NYA	NYY	3	154	94	60	New York Yankees	Yankee Stadium I	1161
1948	AL	PHA	OAK	4	154	84	70	Philadelphia Athletics	Shibe Park	1162
1948	NL	PHI	PHI	6	155	66	88	Philadelphia Phillies	Shibe Park	1163
1948	NL	PIT	PIT	4	156	83	71	Pittsburgh Pirates	Forbes Field	1164
1948	AL	SLA	BAL	6	155	59	94	St. Louis Browns	Sportsman's Park IV	1165
1948	NL	SLN	STL	2	155	85	69	St. Louis Cardinals	Sportsman's Park IV	1166
1948	AL	WS1	MIN	7	154	56	97	Washington Senators	Griffith Stadium I	1167
1949	AL	BOS	BOS	2	155	96	58	Boston Red Sox	Fenway Park II	1168
1949	NL	BRO	LAD	1	156	97	57	Brooklyn Dodgers	Ebbets Field	1169
1949	NL	BSN	ATL	4	157	75	79	Boston Braves	Braves Field	1170
1949	AL	CHA	CHW	6	154	63	91	Chicago White Sox	Comiskey Park	1171
1949	NL	CHN	CHC	8	154	61	93	Chicago Cubs	Wrigley Field	1172
1949	NL	CIN	CIN	7	156	62	92	Cincinnati Reds	Crosley Field	1173
1949	AL	CLE	CLE	3	154	89	65	Cleveland Indians	Cleveland Stadium	1174
1949	AL	DET	DET	4	155	87	67	Detroit Tigers	Briggs Stadium	1175
1949	NL	NY1	SFG	5	156	73	81	New York Giants	Polo Grounds IV	1176
1949	AL	NYA	NYY	1	155	97	57	New York Yankees	Yankee Stadium I	1177
1949	AL	PHA	OAK	5	154	81	73	Philadelphia Athletics	Shibe Park	1178
1949	NL	PHI	PHI	3	154	81	73	Philadelphia Phillies	Shibe Park	1179
1949	NL	PIT	PIT	6	154	71	83	Pittsburgh Pirates	Forbes Field	1180
1949	AL	SLA	BAL	7	155	53	101	St. Louis Browns	Sportsman's Park IV	1181
1949	NL	SLN	STL	2	157	96	58	St. Louis Cardinals	Sportsman's Park IV	1182
1949	AL	WS1	MIN	8	154	50	104	Washington Senators	Griffith Stadium I	1183
1950	AL	BOS	BOS	3	154	94	60	Boston Red Sox	Fenway Park II	1184
1950	NL	BRO	LAD	2	155	89	65	Brooklyn Dodgers	Ebbets Field	1185
1950	NL	BSN	ATL	4	156	83	71	Boston Braves	Braves Field	1186
1950	AL	CHA	CHW	6	156	60	94	Chicago White Sox	Comiskey Park	1187
1950	NL	CHN	CHC	7	154	64	89	Chicago Cubs	Wrigley Field	1188
1950	NL	CIN	CIN	6	153	66	87	Cincinnati Reds	Crosley Field	1189
1950	AL	CLE	CLE	4	155	92	62	Cleveland Indians	Cleveland Stadium	1190
1950	AL	DET	DET	2	157	95	59	Detroit Tigers	Briggs Stadium	1191
1950	NL	NY1	SFG	3	154	86	68	New York Giants	Polo Grounds IV	1192
1950	AL	NYA	NYY	1	155	98	56	New York Yankees	Yankee Stadium I	1193
1950	AL	PHA	OAK	8	154	52	102	Philadelphia Athletics	Shibe Park	1194
1950	NL	PHI	PHI	1	157	91	63	Philadelphia Phillies	Shibe Park	1195
1950	NL	PIT	PIT	8	154	57	96	Pittsburgh Pirates	Forbes Field	1196
1950	AL	SLA	BAL	7	154	58	96	St. Louis Browns	Sportsman's Park IV	1197
1950	NL	SLN	STL	5	153	78	75	St. Louis Cardinals	Sportsman's Park IV	1198
1950	AL	WS1	MIN	5	155	67	87	Washington Senators	Griffith Stadium I	1199
1951	AL	BOS	BOS	3	154	87	67	Boston Red Sox	Fenway Park II	1200
1951	NL	BRO	LAD	2	158	97	60	Brooklyn Dodgers	Ebbets Field	1201
1951	NL	BSN	ATL	4	155	76	78	Boston Braves	Braves Field	1202
1951	AL	CHA	CHW	4	155	81	73	Chicago White Sox	Comiskey Park	1203
1951	NL	CHN	CHC	8	155	62	92	Chicago Cubs	Wrigley Field	1204
1951	NL	CIN	CIN	6	155	68	86	Cincinnati Reds	Crosley Field	1205
1951	AL	CLE	CLE	2	155	93	61	Cleveland Indians	Cleveland Stadium	1206
1951	AL	DET	DET	5	154	73	81	Detroit Tigers	Briggs Stadium	1207
1951	NL	NY1	SFG	1	157	98	59	New York Giants	Polo Grounds IV	1208
1951	AL	NYA	NYY	1	154	98	56	New York Yankees	Yankee Stadium I	1209
1951	AL	PHA	OAK	6	154	70	84	Philadelphia Athletics	Shibe Park	1210
1951	NL	PHI	PHI	5	154	73	81	Philadelphia Phillies	Shibe Park	1211
1951	NL	PIT	PIT	7	155	64	90	Pittsburgh Pirates	Forbes Field	1212
1951	AL	SLA	BAL	8	154	52	102	St. Louis Browns	Sportsman's Park IV	1213
1951	NL	SLN	STL	3	155	81	73	St. Louis Cardinals	Sportsman's Park IV	1214
1951	AL	WS1	MIN	7	154	62	92	Washington Senators	Griffith Stadium I	1215
1952	AL	BOS	BOS	6	154	76	78	Boston Red Sox	Fenway Park II	1216
1952	NL	BRO	LAD	1	155	96	57	Brooklyn Dodgers	Ebbets Field	1217
1952	NL	BSN	ATL	7	155	64	89	Boston Braves	Braves Field	1218
1952	AL	CHA	CHW	3	156	81	73	Chicago White Sox	Comiskey Park	1219
1952	NL	CHN	CHC	5	155	77	77	Chicago Cubs	Wrigley Field	1220
1952	NL	CIN	CIN	6	154	69	85	Cincinnati Reds	Crosley Field	1221
1952	AL	CLE	CLE	2	155	93	61	Cleveland Indians	Cleveland Stadium	1222
1952	AL	DET	DET	8	156	50	104	Detroit Tigers	Briggs Stadium	1223
1952	NL	NY1	SFG	2	154	92	62	New York Giants	Polo Grounds IV	1224
1952	AL	NYA	NYY	1	154	95	59	New York Yankees	Yankee Stadium I	1225
1952	AL	PHA	OAK	4	155	79	75	Philadelphia Athletics	Shibe Park	1226
1952	NL	PHI	PHI	4	154	87	67	Philadelphia Phillies	Shibe Park	1227
1952	NL	PIT	PIT	8	155	42	112	Pittsburgh Pirates	Forbes Field	1228
1952	AL	SLA	BAL	7	155	64	90	St. Louis Browns	Sportsman's Park IV	1229
1952	NL	SLN	STL	3	154	88	66	St. Louis Cardinals	Sportsman's Park IV	1230
1952	AL	WS1	MIN	5	157	78	76	Washington Senators	Griffith Stadium I	1231
1953	AL	BOS	BOS	4	153	84	69	Boston Red Sox	Fenway Park II	1232
1953	NL	BRO	LAD	1	155	105	49	Brooklyn Dodgers	Ebbets Field	1233
1953	AL	CHA	CHW	3	156	89	65	Chicago White Sox	Comiskey Park	1234
1953	NL	CHN	CHC	7	155	65	89	Chicago Cubs	Wrigley Field	1235
1953	NL	CIN	CIN	6	155	68	86	Cincinnati Reds	Crosley Field	1236
1953	AL	CLE	CLE	2	155	92	62	Cleveland Indians	Cleveland Stadium	1237
1953	AL	DET	DET	6	158	60	94	Detroit Tigers	Briggs Stadium	1238
1953	NL	ML1	ATL	2	157	92	62	Milwaukee Braves	County Stadium	1239
1953	NL	NY1	SFG	5	155	70	84	New York Giants	Polo Grounds IV	1240
1953	AL	NYA	NYY	1	151	99	52	New York Yankees	Yankee Stadium I	1241
1953	AL	PHA	OAK	7	157	59	95	Philadelphia Athletics	Connie Mack Stadium	1242
