yearID,teamID,league,playerID,salary,SalaryID
1991,ML4,AL,navarja01,835000,4520
1991,ML4,AL,nunezed01,2266667,4521
1991,ML4,AL,plesada01,1000000,4522
1991,ML4,AL,randowi01,500000,4523
1991,ML4,AL,sheffga01,400000,4524
1991,ML4,AL,spierbi01,250000,4525
1991,ML4,AL,stubbfr01,1866667,4526
1991,ML4,AL,surhobj01,1085000,4527
1991,ML4,AL,vaughgr01,190000,4528
1991,ML4,AL,wegmabi01,440000,4529
1991,ML4,AL,yountro01,3200000,4530
1991,MON,NL,barnebr01,103500,4531
1991,MON,NL,boydoi01,1500000,4532
1991,MON,NL,caldeiv01,2215000,4533
1991,MON,NL,fitzgmi02,700000,4534
1991,MON,NL,freyst01,165000,4535
1991,MON,NL,gardnma01,185000,4536
1991,MON,NL,jonesba01,875000,4537
1991,MON,NL,longbi01,394500,4538
1991,MON,NL,martida01,140000,4539
1991,MON,NL,martide01,3333333,4540
1991,MON,NL,nabhoch01,120000,4541
1991,MON,NL,reedda01,110000,4542
1991,MON,NL,rojasme01,115000,4543
1991,MON,NL,ruskisc01,147500,4544
1991,MON,NL,sampebi01,161000,4545
1991,MON,NL,santone01,282500,4546
1991,MON,NL,walkela01,185000,4547
1991,NYA,AL,barfije01,1333333,4548
1991,NYA,AL,blowemi01,130000,4549
1991,NYA,AL,cadargr01,675000,4550
1991,NYA,AL,carych01,570000,4551
1991,NYA,AL,eilanda01,110000,4552
1991,NYA,AL,espinal01,650000,4553
1991,NYA,AL,farrst01,2400000,4554
1991,NYA,AL,gerenbo01,230000,4555
1991,NYA,AL,guettle01,1050000,4556
1991,NYA,AL,habyajo01,105000,4557
1991,NYA,AL,hallme01,1100000,4558
1991,NYA,AL,hawkian01,1533334,4559
1991,NYA,AL,kellyro01,900000,4560
1991,NYA,AL,learyti01,1975000,4561
1991,NYA,AL,leyriji01,135000,4562
1991,NYA,AL,lovulto01,100000,4563
1991,NYA,AL,maaske01,250000,4564
1991,NYA,AL,mattido01,3420000,4565
1991,NYA,AL,meulehe01,120000,4566
1991,NYA,AL,millsal01,125000,4567
1991,NYA,AL,nokesma01,887500,4568
1991,NYA,AL,perezpa01,2133333,4569
1991,NYA,AL,plunker01,975000,4570
1991,NYA,AL,sandesc01,2125000,4571
1991,NYA,AL,saxst01,1650001,4572
1991,NYA,AL,velarra01,145000,4573
1991,NYA,AL,willibe02,100000,4574
1991,NYA,AL,wittmi01,2416667,4575
1991,NYN,NL,bostoda01,750000,4576
1991,NYN,NL,brookhu01,2316666,4577
1991,NYN,NL,carrema01,215000,4578
1991,NYN,NL,ceronri01,100000,4579
1991,NYN,NL,colemvi01,3112500,4580
1991,NYN,NL,coneda01,2350000,4581
1991,NYN,NL,darliro01,1966667,4582
1991,NYN,NL,elsteke01,625000,4583
1991,NYN,NL,fernasi01,2166667,4584
1991,NYN,NL,francjo01,2633333,4585
1991,NYN,NL,goodedw01,2466667,4586
1991,NYN,NL,herrto01,1400000,4587
1991,NYN,NL,innisje01,155000,4588
1991,NYN,NL,jeffegr01,425000,4589
1991,NYN,NL,johnsho01,2166667,4590
1991,NYN,NL,magadda01,1250000,4591
1991,NYN,NL,mcreyke01,2266667,4592
1991,NYN,NL,milleke01,260000,4593
1991,NYN,NL,obriech01,300000,4594
1991,NYN,NL,penaal01,1000000,4595
1991,NYN,NL,sassema01,505000,4596
1991,NYN,NL,schoupe01,100000,4597
1991,NYN,NL,simondo01,100000,4598
1991,NYN,NL,teufeti01,637500,4599
1991,NYN,NL,violafr01,3166667,4600
1991,NYN,NL,whitewa02,155000,4601
1991,OAK,AL,baineha01,1358333,4602
1991,OAK,AL,blankla02,125000,4603
1991,OAK,AL,burnsto02,325000,4604
1991,OAK,AL,cansejo01,3500000,4605
1991,OAK,AL,chitrst01,105000,4606
1991,OAK,AL,eckerde01,3000000,4607
1991,OAK,AL,gallemi01,565000,4608
1991,OAK,AL,hendeda01,2500000,4609
1991,OAK,AL,henderi01,3250000,4610
1991,OAK,AL,honeyri01,1350000,4611
1991,OAK,AL,jacobbr01,1150000,4612
1991,OAK,AL,klinkjo01,140000,4613
1991,OAK,AL,lansfca01,1275000,4614
1991,OAK,AL,lawva01,500000,4615
1991,OAK,AL,mcgwima01,2850000,4616
1991,OAK,AL,mooremi01,1591667,4617
1991,OAK,AL,nelsoge01,1100000,4618
1991,OAK,AL,quirkja01,500000,4619
1991,OAK,AL,rileser01,792500,4620
1991,OAK,AL,shower01,800000,4621
1991,OAK,AL,steinte01,1050000,4622
1991,OAK,AL,stewada01,3166667,4623
1991,OAK,AL,weisswa01,780000,4624
1991,OAK,AL,welchbo01,3450000,4625
1991,OAK,AL,wilsowi02,1000000,4626
1991,OAK,AL,youngcu01,775000,4627
